vehicle_id,model,region,timestamp,speed_kmh,battery_percent,distance_km,temperature_c,charging
BMW1001,BMW i4,Bengaluru,2026-09-01 08:00:00,69.88,97.08,12.61,24.3,true
BMW1001,BMW i4,Bengaluru,2026-09-01 09:00:00,62.98,96.31,8.4,23.3,false
BMW1001,BMW i4,Bengaluru,2026-09-01 10:00:00,61.48,95.74,4.55,26.9,false
BMW1001,BMW i4,Bengaluru,2026-09-01 11:00:00,46.93,94.92,4.84,21.5,false
BMW1001,BMW i4,Bengaluru,2026-09-01 12:00:00,58.62,93.56,11.19,23.7,false
BMW1001,BMW i4,Bengaluru,2026-09-01 13:00:00,53.32,92.4,11.39,25.2,false
BMW1001,BMW i4,Bengaluru,2026-09-01 14:00:00,63.65,91.02,10.22,24.6,false
BMW1001,BMW i4,Bengaluru,2026-09-01 15:00:00,55.64,89.77,12.02,20.9,false
BMW1001,BMW i4,Bengaluru,2026-09-01 16:00:00,31.28,88.77,5.09,22.5,false
BMW1001,BMW i4,Bengaluru,2026-09-01 17:00:00,37.29,88.3,3,22.2,false
BMW1001,BMW i4,Bengaluru,2026-09-01 18:00:00,56.5,87.69,5.93,25.0,false
BMW1001,BMW i4,Bengaluru,2026-09-01 19:00:00,54.27,86.85,6.77,27.5,false
BMW1002,BMW iX,Chennai,2026-09-01 08:00:00,54.25,76.11,8.75,37.8,false
BMW1002,BMW iX,Chennai,2026-09-01 09:00:00,56.83,74.85,7.21,30.5,false
BMW1002,BMW iX,Chennai,2026-09-01 10:00:00,45.8,73.63,7.91,29.5,false
BMW1002,BMW iX,Chennai,2026-09-01 11:00:00,59.76,72.99,4.47,30.2,false
BMW1002,BMW iX,Chennai,2026-09-01 12:00:00,56.85,71.41,12.02,33.7,false
BMW1002,BMW iX,Chennai,2026-09-01 13:00:00,49.34,70.24,6.38,35.4,false
BMW1002,BMW iX,Chennai,2026-09-01 14:00:00,46.62,77.08,7.19,32.5,true
BMW1002,BMW iX,Chennai,2026-09-01 15:00:00,30.38,76.54,3.95,29.3,false
BMW1002,BMW iX,Chennai,2026-09-01 16:00:00,75.9,75.84,6.35,32.0,false
BMW1002,BMW iX,Chennai,2026-09-01 17:00:00,74.27,74.23,14.02,34.2,false
BMW1002,BMW iX,Chennai,2026-09-01 18:00:00,71.55,72.43,15.7,33.0,false
BMW1002,BMW iX,Chennai,2026-09-01 19:00:00,87.3,71.29,6.26,31.1,false
BMW1003,BMW i7,Mumbai,2026-09-01 08:00:00,46.5,87.69,4.03,28.5,false
BMW1003,BMW i7,Mumbai,2026-09-01 09:00:00,22.36,87.08,4.5,30.8,false
BMW1003,BMW i7,Mumbai,2026-09-01 10:00:00,48.59,85.68,10.05,29.0,false
BMW1003,BMW i7,Mumbai,2026-09-01 11:00:00,51.58,84.83,8.32,32.4,false
BMW1003,BMW i7,Mumbai,2026-09-01 12:00:00,59.47,83.56,11.11,25.9,false
BMW1003,BMW i7,Mumbai,2026-09-01 13:00:00,71.28,82.46,5.2,29.0,false
BMW1003,BMW i7,Mumbai,2026-09-01 14:00:00,78.49,93.61,6.18,25.7,true
BMW1003,BMW i7,Mumbai,2026-09-01 15:00:00,64.0,92.73,9.15,28.7,false
BMW1003,BMW i7,Mumbai,2026-09-01 16:00:00,59.7,91.95,5.33,24.7,false
BMW1003,BMW i7,Mumbai,2026-09-01 17:00:00,46.8,90.87,9.4,28.4,false
BMW1003,BMW i7,Mumbai,2026-09-01 18:00:00,62.44,89.74,11.21,32.0,false
BMW1003,BMW i7,Mumbai,2026-09-01 19:00:00,39.48,88.84,6.61,36.6,false
BMW1004,BMW i5,Delhi,2026-09-01 08:00:00,65.75,91.03,10.41,32.2,true
BMW1004,BMW i5,Delhi,2026-09-01 09:00:00,59.07,90.03,9.73,31.9,false
BMW1004,BMW i5,Delhi,2026-09-01 10:00:00,82.63,89.17,6.66,28.2,false
BMW1004,BMW i5,Delhi,2026-09-01 11:00:00,52.92,88.13,4.76,29.5,false
BMW1004,BMW i5,Delhi,2026-09-01 12:00:00,42.69,86.93,8.01,29.8,false
BMW1004,BMW i5,Delhi,2026-09-01 13:00:00,60.48,85.93,8.14,32.1,false
BMW1004,BMW i5,Delhi,2026-09-01 14:00:00,34.28,85.18,7.46,31.8,false
BMW1004,BMW i5,Delhi,2026-09-01 15:00:00,46.82,84.19,9.33,32.3,false
BMW1004,BMW i5,Delhi,2026-09-01 16:00:00,64.01,83.22,8.53,33.5,false
BMW1004,BMW i5,Delhi,2026-09-01 17:00:00,58.04,81.96,7.92,36.7,false
BMW1004,BMW i5,Delhi,2026-09-01 18:00:00,53.41,80.44,11.74,30.7,false
BMW1004,BMW i5,Delhi,2026-09-01 19:00:00,91.61,78.43,18.08,29.9,false
BMW1005,BMW iX1,Hyderabad,2026-09-01 08:00:00,61.43,95.55,7.79,32.5,true
BMW1005,BMW iX1,Hyderabad,2026-09-01 09:00:00,55.5,94.58,7.67,34.4,false
BMW1005,BMW iX1,Hyderabad,2026-09-01 10:00:00,105,92.31,16.1,27.8,false
BMW1005,BMW iX1,Hyderabad,2026-09-01 11:00:00,65.09,90.71,14.01,31.7,false
BMW1005,BMW iX1,Hyderabad,2026-09-01 12:00:00,33.97,90.02,3,28.9,false
BMW1005,BMW iX1,Hyderabad,2026-09-01 13:00:00,28.65,89.11,3,29.9,false
BMW1005,BMW iX1,Hyderabad,2026-09-01 14:00:00,66.43,87.93,11.38,30.8,false
BMW1005,BMW iX1,Hyderabad,2026-09-01 15:00:00,81.0,86.65,8.66,33.6,false
BMW1005,BMW iX1,Hyderabad,2026-09-01 16:00:00,46.56,85.67,7.34,28.2,false
BMW1005,BMW iX1,Hyderabad,2026-09-01 17:00:00,67.3,84.44,11.94,29.3,false
BMW1005,BMW iX1,Hyderabad,2026-09-01 18:00:00,40.24,83.79,4.63,32.3,false
